지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,전운량(10분위),중하층운량(10분위),지면온도(°C),지면온도 QC플래그
108,서울,2022-01-01 01:00,-9.2,,,,1.8,,270,,42,,1.3,-19.7,1022.2,,1033.6,,0,0,-7.2,
108,서울,2022-01-01 02:00,-9.5,,,,1.2,,270,,43,,1.3,-19.7,1022.3,,1033.7,,0,0,-7.5,
108,서울,2022-01-01 03:00,-9.3,,,,1.4,,290,,46,,1.4,-18.8,1022.6,,1034,,0,0,-7.6,
108,서울,2022-01-01 04:00,-9.6,,,,1.7,,340,,48,,1.4,-18.5,1021.9,,1033.3,,0,0,-7.6,
108,서울,2022-01-01 05:00,-9.7,,,,.8,,270,,51,,1.5,-17.9,1022,,1033.4,,0,0,-7.7,
108,서울,2022-01-01 06:00,-9.8,,,,1.9,,20,,53,,1.5,-17.6,1021.7,,1033.1,,0,0,-7.6,
108,서울,2022-01-01 07:00,-10.1,,,,1.9,,50,,55,,1.6,-17.4,1021.6,,1033,,0,0,-7.6,
108,서울,2022-01-01 08:00,-10.2,,,,2.5,,20,,56,,1.6,-17.3,1021.8,,1033.2,,0,0,-7.4,
108,서울,2022-01-01 09:00,-9.1,,,,2.1,,50,,56,,1.7,-16.2,1021.9,,1033.3,,0,0,-6.4,
108,서울,2022-01-01 10:00,-6.8,,,,2.3,,50,,42,,1.6,-17.5,1022.4,,1033.7,,1,0,-3.1,
108,서울,2022-01-01 11:00,-4.3,,,,.9,,50,,37,,1.6,-16.8,1022.3,,1033.5,,1,0,-.4,
108,서울,2022-01-01 12:00,-2.3,,,,1.2,,90,,34,,1.8,-16,1021.4,,1032.5,,0,0,3,
108,서울,2022-01-01 13:00,-.1,,,,1.5,,160,,32,,1.9,-14.8,1020.3,,1031.3,,1,0,5.5,
108,서울,2022-01-01 14:00,1.3,,,,2.2,,180,,32,,2.1,-13.6,1019.1,,1030,,1,1,5.1,
108,서울,2022-01-01 15:00,1.9,,,,1.7,,230,,35,,2.5,-11.9,1018.5,,1029.3,,0,0,2.1,
108,서울,2022-01-01 16:00,1.8,,,,1.4,,290,,37,,2.6,-11.3,1018.4,,1029.2,,0,0,0,
108,서울,2022-01-01 17:00,.5,,,,1.5,,180,,38,,2.4,-12.2,1018.5,,1029.4,,0,0,-.3,
108,서울,2022-01-01 18:00,-.9,,,,.7,,90,,42,,2.4,-12.2,1018.2,,1029.2,,1,1,-1.2,
108,서울,2022-01-01 19:00,-1.2,,,,.9,,200,,45,,2.5,-11.6,1018.2,,1029.2,,7,7,-1,
108,서울,2022-01-01 20:00,-1.6,,,,.9,,70,,47,,2.6,-11.4,1017.8,,1028.8,,4,4,-2.3,
108,서울,2022-01-01 21:00,-2.4,,,,2.1,,20,,49,,2.5,-11.6,1017.5,,1028.5,,3,3,-3,
108,서울,2022-01-01 22:00,-2.5,,,,1,,50,,49,,2.5,-11.7,1017.4,,1028.4,,6,6,-3.4,
108,서울,2022-01-01 23:00,-2.6,,,,.9,,70,,52,,2.6,-11.1,1017.1,,1028.1,,8,8,-3,
108,서울,2022-01-02 00:00,-2.8,,,,2.3,,50,,55,,2.7,-10.6,1016.3,,1027.3,,7,7,-3.3,
108,서울,2022-01-02 01:00,-2.9,,,,2.1,,50,,57,,2.8,-10.2,1015.8,,1026.8,,8,8,-3.4,
108,서울,2022-01-02 02:00,-2.6,,,,1.9,,50,,57,,2.9,-9.9,1015.3,,1026.3,,8,8,-2.5,
108,서울,2022-01-02 03:00,-2.1,,,,2.5,,50,,56,,2.9,-9.7,1015.1,,1026.1,,9,9,-2.1,
108,서울,2022-01-02 04:00,-1.9,,,9,2,,50,,55,,2.9,-9.7,1014.3,,1025.3,,8,8,-2.1,
108,서울,2022-01-02 05:00,-1.9,,,9,2.3,,50,,56,,3,-9.5,1013.6,,1024.5,,9,9,-2,
108,서울,2022-01-02 06:00,-1.9,,0,,2.5,,50,,66,,3.5,-7.4,1014.1,,1025.1,,9,9,-1.8,
108,서울,2022-01-02 07:00,-2.2,,,9,2,,50,,81,,4.2,-5,1014.3,,1025.3,,9,9,-1.6,
108,서울,2022-01-02 08:00,-2.2,,,9,2,,50,,83,,4.3,-4.7,1014.6,,1025.6,,8,8,-1.9,
108,서울,2022-01-02 09:00,-1.9,,.3,,1.4,,340,,82,,4.4,-4.5,1015.4,,1026.4,,8,8,-1.5,
108,서울,2022-01-02 10:00,-.8,,,9,.7,,250,,81,,4.7,-3.6,1016.2,,1027.1,,7,7,-.8,
108,서울,2022-01-02 11:00,0,,,9,3.3,,320,,80,,4.9,-3,1016.7,,1027.6,,8,8,-.1,
108,서울,2022-01-02 12:00,1.4,,,9,2.4,,270,,74,,5,-2.7,1016.3,,1027.1,,6,6,4.3,
108,서울,2022-01-02 13:00,1.4,,,9,3.6,,290,,67,,4.5,-4,1015.7,,1026.5,,3,3,3.8,
108,서울,2022-01-02 14:00,2.4,,,9,3.5,,290,,55,,4,-5.7,1015,,1025.8,,1,1,6.2,
108,서울,2022-01-02 15:00,2.5,,,9,3.3,,270,,46,,3.4,-7.9,1015.1,,1025.9,,0,0,2.7,
108,서울,2022-01-02 16:00,2.5,,,9,3,,270,,45,,3.3,-8.2,1015.3,,1026.1,,0,0,.2,
108,서울,2022-01-02 17:00,1.2,,,9,2.7,,270,,45,,3,-9.4,1015.6,,1026.4,,0,0,-.1,
108,서울,2022-01-02 18:00,-.5,,,9,2.9,,270,,40,,2.4,-12.4,1016.1,,1027,,0,0,-.8,
108,서울,2022-01-02 19:00,-1.6,,,9,2,,270,,41,,2.2,-13.1,1016.8,,1027.8,,0,0,-1.5,
108,서울,2022-01-02 20:00,-2.6,,,9,1.6,,290,,46,,2.3,-12.6,1016.7,,1027.7,,0,0,-2.3,
108,서울,2022-01-02 21:00,-2.9,,,9,2.7,,290,,48,,2.4,-12.4,1016.9,,1027.9,,0,0,-2.9,
108,서울,2022-01-02 22:00,-3.8,,,9,2.1,,250,,49,,2.3,-12.9,1017.2,,1028.3,,0,0,-3.7,
108,서울,2022-01-02 23:00,-4.4,,,9,2.9,,270,,48,,2.1,-13.7,1017.3,,1028.4,,0,0,-4.2,
108,서울,2022-01-03 00:00,-5.2,,,9,1.6,,230,,51,,2.1,-13.7,1016.8,,1027.9,,1,0,-4.9,
108,서울,2022-01-03 01:00,-5.8,,,,2.1,,270,,52,,2.1,-14.1,1016.9,,1028,,0,0,-5.4,
108,서울,2022-01-03 02:00,-6.4,,,,1.7,,250,,56,,2.1,-13.7,1016.9,,1028.1,,5,0,-5.9,
108,서울,2022-01-03 03:00,-7,,,,1.6,,270,,59,,2.1,-13.6,1016.9,,1028.1,,2,0,-6.4,
108,서울,2022-01-03 04:00,-7.2,,,,1.3,,290,,61,,2.2,-13.4,1016.6,,1027.8,,3,0,-6.5,
108,서울,2022-01-03 05:00,-7.4,,,,.3,,0,,59,,2.1,-14,1016.5,,1027.7,,2,0,-6.8,
108,서울,2022-01-03 06:00,-7.8,,,,2.1,,20,,55,,1.9,-15.2,1016.4,,1027.6,,1,0,-7.2,
108,서울,2022-01-03 07:00,-7.7,,,,2,,20,,54,,1.8,-15.4,1016.3,,1027.5,,0,0,-7.4,
108,서울,2022-01-03 08:00,-7.6,,,,1.6,,270,,55,,1.9,-15,1017.1,,1028.3,,1,0,-7.2,
108,서울,2022-01-03 09:00,-6.9,,,,1.7,,250,,55,,2,-14.4,1017.2,,1028.4,,1,0,-5.7,
108,서울,2022-01-03 10:00,-4,,,,1.2,,160,,55,,2.5,-11.7,1017.2,,1028.3,,2,0,-2.3,
108,서울,2022-01-03 11:00,-1.4,,,,1.5,,180,,44,,2.4,-12.1,1016.8,,1027.8,,0,0,-.3,
108,서울,2022-01-03 12:00,.9,,,,2.1,,180,,36,,2.3,-12.5,1015.9,,1026.8,,2,0,2.6,
108,서울,2022-01-03 13:00,1.7,,,,2.8,,250,,43,,3,-9.5,1015.5,,1026.3,,4,0,4.1,
108,서울,2022-01-03 14:00,2,,,,2.4,,270,,43,,3,-9.2,1014.6,,1025.4,,6,1,4.9,
108,서울,2022-01-03 15:00,2.2,,,,2.2,,270,,48,,3.5,-7.6,1014.2,,1025,,6,2,3,
108,서울,2022-01-03 16:00,2.3,,,,2.4,,230,,49,,3.5,-7.3,1014,,1024.8,,7,7,1.1,
108,서울,2022-01-03 17:00,1.6,,,,3,,200,,56,,3.8,-6.2,1013.9,,1024.7,,8,8,-.1,
108,서울,2022-01-03 18:00,1.3,,,,1.9,,200,,58,,3.9,-6,1013.8,,1024.6,,9,9,-.1,
108,서울,2022-01-03 19:00,1.3,,,9,2.6,,200,,65,,4.4,-4.5,1013.8,,1024.6,,9,9,-.2,
108,서울,2022-01-03 20:00,1.2,,,9,1.8,,270,,68,,4.5,-4,1014,,1024.8,,9,9,-.2,
108,서울,2022-01-03 21:00,1.1,,0,,2.8,,200,,74,,4.9,-3,1013.8,,1024.6,,9,9,-.2,
108,서울,2022-01-03 22:00,.9,,,9,1.5,,200,,75,,4.9,-3,1013.6,,1024.4,,8,8,-.4,
108,서울,2022-01-03 23:00,.6,,,9,1.3,,230,,75,,4.8,-3.3,1013.4,,1024.2,,9,9,-.6,
108,서울,2022-01-04 00:00,.7,,0,,1.6,,290,,81,,5.2,-2.1,1013.8,,1024.6,,9,9,-.4,
108,서울,2022-01-04 01:00,.7,,,9,1.3,,290,,81,,5.2,-2.1,1014.1,,1025,,9,9,-.5,
108,서울,2022-01-04 02:00,-.4,,,9,2.4,,290,,77,,4.6,-3.9,1014.7,,1025.6,,0,0,-1.3,
108,서울,2022-01-04 03:00,-1.6,,0,,2,,270,,78,,4.2,-4.9,1015.6,,1026.6,,0,0,-2.4,
108,서울,2022-01-04 04:00,-2.2,,,9,2.5,,320,,76,,4,-5.8,1015.8,,1026.8,,0,0,-3,
108,서울,2022-01-04 05:00,-2.9,,,9,3.3,,340,,74,,3.7,-6.8,1015.9,,1026.9,,0,0,-3.6,
108,서울,2022-01-04 06:00,-3.6,,,9,2.6,,270,,73,,3.4,-7.7,1016.8,,1027.9,,0,0,-4.2,
108,서울,2022-01-04 07:00,-4,,,9,2.5,,320,,76,,3.5,-7.6,1017.6,,1028.7,,0,0,-4.6,
108,서울,2022-01-04 08:00,-4.6,,,9,1.9,,270,,75,,3.3,-8.3,1017.7,,1028.8,,0,0,-4.8,
108,서울,2022-01-04 09:00,-4.3,,,9,3.8,,290,,73,,3.2,-8.4,1018.1,,1029.2,,0,0,-4.2,
108,서울,2022-01-04 10:00,-3.5,,,9,2.8,,290,,66,,3.1,-8.9,1018.3,,1029.4,,0,0,-1.6,
108,서울,2022-01-04 11:00,-1.9,,,9,3.2,,250,,55,,2.9,-9.7,1018.1,,1029.1,,0,0,0,
108,서울,2022-01-04 12:00,-.6,,,9,2.5,,270,,45,,2.6,-11,1017.5,,1028.4,,0,0,4.3,
108,서울,2022-01-04 13:00,-.5,,,9,2.9,,270,,43,,2.5,-11.5,1016.9,,1027.8,,0,0,6.9,
108,서울,2022-01-04 14:00,0,,,9,3.6,,290,,37,,2.3,-12.9,1016.5,,1027.4,,0,0,6.2,
108,서울,2022-01-04 15:00,.9,,,9,3.5,,250,,32,,2.1,-13.9,1016.5,,1027.4,,0,0,2.9,
108,서울,2022-01-04 16:00,.7,,,9,3,,250,,29,,1.9,-15.3,1016.9,,1027.8,,0,0,0,
108,서울,2022-01-04 17:00,-.4,,,9,2.8,,290,,29,,1.7,-16.3,1017.1,,1028,,0,0,-.5,
108,서울,2022-01-04 18:00,-1.7,,,9,2.2,,270,,31,,1.7,-16.6,1017.3,,1028.3,,0,0,-1.5,
108,서울,2022-01-04 19:00,-2.6,,,9,.7,,320,,35,,1.8,-15.9,1017.5,,1028.5,,0,0,-2.5,
108,서울,2022-01-04 20:00,-2.5,,,9,2.5,,290,,34,,1.7,-16.2,1017.7,,1028.7,,0,0,-3,
108,서울,2022-01-04 21:00,-3.5,,,9,.8,,290,,37,,1.7,-16.1,1017.9,,1029,,0,0,-3.7,
108,서울,2022-01-04 22:00,-4.4,,,9,1,,290,,41,,1.8,-15.7,1017.7,,1028.8,,0,0,-4.5,
108,서울,2022-01-04 23:00,-5.1,,,9,1.5,,20,,42,,1.8,-16,1018,,1029.1,,0,0,-5.2,
