지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,습도(%),습도 QC플래그,현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,전운량(10분위),중하층운량(10분위),지면온도(°C),지면온도 QC플래그
184,제주,2019-01-01 01:00,5.2,0,,,3.8,,63,0,1032.2,0,1034.8,0,9,9,4.4,0
184,제주,2019-01-01 02:00,5.7,0,,,4.2,,60,0,1032.3,0,1034.9,0,9,9,4.4,0
184,제주,2019-01-01 03:00,5.8,0,,,4.6,,59,0,1032.9,0,1035.5,0,9,9,4.5,0
184,제주,2019-01-01 04:00,6.1,0,,,4.6,,64,0,1032,0,1034.6,0,9,9,4.7,0
184,제주,2019-01-01 05:00,5.8,0,,,4.7,,60,0,1031.3,0,1033.9,0,9,9,4.6,0
184,제주,2019-01-01 06:00,5.8,0,,,5.6,,58,0,1031.2,0,1033.8,0,9,9,4.4,0
184,제주,2019-01-01 07:00,5.6,0,,,4.2,,63,0,1031.8,0,1034.4,0,9,9,4.4,0
184,제주,2019-01-01 08:00,5.4,0,,9,5.6,,60,0,1032.3,0,1034.9,0,9,9,4.4,0
184,제주,2019-01-01 09:00,5.7,0,0,0,4.7,,61,0,1032.5,0,1035.1,0,9,9,4.5,0
184,제주,2019-01-01 10:00,5.7,0,,9,4.7,,60,0,1032.6,0,1035.2,0,9,9,4.7,0
184,제주,2019-01-01 11:00,5.9,0,,9,5.2,,62,0,1032.1,0,1034.7,0,10,6,5.1,0
184,제주,2019-01-01 12:00,6.3,0,0,0,6.2,,63,0,1031.2,0,1033.8,0,9,9,7,0
184,제주,2019-01-01 13:00,6.6,0,,9,6.3,,59,0,1030.3,0,1032.9,0,9,9,7.7,0
184,제주,2019-01-01 14:00,6.4,0,,9,6.3,,60,0,1030,0,1032.6,0,9,9,7.9,0
184,제주,2019-01-01 15:00,6.1,0,,9,6.6,,64,0,1030.2,0,1032.8,0,9,9,6.3,0
184,제주,2019-01-01 16:00,6.1,0,,9,6.8,,49,0,1030.7,0,1033.3,0,9,9,5.4,0
184,제주,2019-01-01 17:00,5.6,0,,9,6.3,,59,0,1031.2,0,1033.8,0,9,9,4.9,0
184,제주,2019-01-01 18:00,5.3,0,0,0,4.9,,66,0,1031.4,0,1034,0,9,9,4.6,0
184,제주,2019-01-01 19:00,5.2,0,,9,5.4,,57,0,1031.8,0,1034.4,0,9,9,4.3,0
184,제주,2019-01-01 20:00,5.2,0,,9,5.6,,57,0,1031.7,0,1034.3,0,9,9,4.3,0
184,제주,2019-01-01 21:00,4.8,0,0,0,3.9,,56,0,1031.7,0,1034.3,0,9,9,4,0
184,제주,2019-01-01 22:00,5.1,0,,9,5.9,,54,0,1031.8,0,1034.4,0,9,9,3.9,0
184,제주,2019-01-01 23:00,5.2,0,,9,4.9,,60,0,1031.5,0,1034.1,0,9,9,4,0
184,제주,2019-01-02 00:00,4.9,0,,9,5.3,,62,0,1032.1,0,1034.7,0,9,9,4,0
184,제주,2019-01-02 01:00,4.9,0,,,4.6,,59,0,1032,0,1034.6,0,9,9,3.9,0
184,제주,2019-01-02 02:00,4.9,0,,,4.6,,59,0,1032.4,0,1035,0,9,9,3.9,0
184,제주,2019-01-02 03:00,4.7,0,,,5.8,,59,0,1032.4,0,1035,0,9,9,3.9,0
184,제주,2019-01-02 04:00,4.6,0,,,4.7,,57,0,1032.1,0,1034.7,0,9,9,3.8,0
184,제주,2019-01-02 05:00,4.7,0,,,4.7,,58,0,1031.7,0,1034.3,0,9,9,3.7,0
184,제주,2019-01-02 06:00,4.7,0,,,3.7,,59,0,1031.8,0,1034.4,0,9,9,4.6,0
184,제주,2019-01-02 07:00,4.8,0,,,4.8,,57,0,1032.2,0,1034.8,0,8,8,3.8,0
184,제주,2019-01-02 08:00,4.9,0,,,5.1,,57,0,1032.7,0,1035.3,0,9,9,3.8,0
