지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,습도(%),습도 QC플래그,현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,전운량(10분위),중하층운량(10분위),지면온도(°C),지면온도 QC플래그
108,서울,2020-01-01 01:00,-5.9,,,9,1.7,,40,,1021.8,,1033,,9,9,-2.4,
108,서울,2020-01-01 02:00,-5.7,,,9,.1,,42,,1021.6,,1032.8,,9,9,-2.4,
108,서울,2020-01-01 03:00,-5.6,,0,,0,,46,,1021.5,,1032.7,,9,9,-2.7,
108,서울,2020-01-01 04:00,-5.4,,,9,0,,50,,1021.6,,1032.8,,8,8,-2.5,
108,서울,2020-01-01 05:00,-5.2,,,9,0,,55,,1021.1,,1032.3,,9,9,-2.2,
108,서울,2020-01-01 06:00,-4.8,,0,,1.9,,58,,1021.3,,1032.5,,9,9,-2.1,
108,서울,2020-01-01 07:00,-4.6,,,9,2.1,,62,,1021.6,,1032.8,,9,9,-2,
108,서울,2020-01-01 08:00,-4.6,,,9,1.8,,64,,1021.7,,1032.9,,9,9,-1.9,
108,서울,2020-01-01 09:00,-4.3,,0,,2.3,,70,,1022.2,,1033.4,,9,9,-1.6,
108,서울,2020-01-01 10:00,-4.2,,,9,1.9,,76,,1022.8,,1034,,9,9,-1.1,
108,서울,2020-01-01 11:00,-3.4,,,9,1.5,,75,,1022.4,,1033.5,,9,9,-.4,
108,서울,2020-01-01 12:00,-2.2,,.1,,1.7,,72,,1021.4,,1032.4,,9,9,-.1,
108,서울,2020-01-01 13:00,-1,,,9,1.6,,67,,1020.6,,1031.6,,9,9,.4,
108,서울,2020-01-01 14:00,-.4,,,9,1.2,,65,,1020.5,,1031.5,,9,9,.4,
108,서울,2020-01-01 15:00,.3,,,9,0,,62,,1020.4,,1031.3,,9,9,.8,
108,서울,2020-01-01 16:00,.3,,,9,0,,64,,1020.8,,1031.7,,9,9,.1,
108,서울,2020-01-01 17:00,.2,,,9,.9,,65,,1020.8,,1031.7,,9,9,-.2,
108,서울,2020-01-01 18:00,.1,,,9,.8,,66,,1020.8,,1031.8,,9,9,-.1,
108,서울,2020-01-01 19:00,.1,,,9,.3,,65,,1020.8,,1031.8,,9,9,-.1,
108,서울,2020-01-01 20:00,0,,,9,1.7,,67,,1020.5,,1031.5,,9,9,-.1,
108,서울,2020-01-01 21:00,-.4,,,9,2.5,,71,,1020.7,,1031.7,,8,8,-.3,
108,서울,2020-01-01 22:00,-.9,,,9,1.5,,71,,1020.8,,1031.8,,8,8,-.3,
108,서울,2020-01-01 23:00,-.9,,,9,1,,70,,1021,,1032,,9,9,-.3,
108,서울,2020-01-02 00:00,-.7,,,9,2.1,,70,,1020.3,,1031.3,,9,9,-.4,
108,서울,2020-01-02 01:00,-.7,,,,2.2,,72,,1019.8,,1030.8,,8,8,-.3,
108,서울,2020-01-02 02:00,-.6,,,,2.2,,70,,1019.4,,1030.4,,9,9,-.4,
108,서울,2020-01-02 03:00,-.6,,,,2.3,,70,,1019.3,,1030.3,,9,9,-.4,
108,서울,2020-01-02 04:00,-.7,,,,2.1,,70,,1019.3,,1030.3,,9,9,-.4,
108,서울,2020-01-02 05:00,-.5,,,,1.5,,67,,1019.3,,1030.2,,9,9,-.5,
108,서울,2020-01-02 06:00,-.6,,,,1.7,,69,,1019.4,,1030.4,,9,9,-.5,
108,서울,2020-01-02 07:00,-.5,,,,1.9,,65,,1019.6,,1030.6,,9,9,-.6,
108,서울,2020-01-02 08:00,-.4,,,,2.3,,67,,1019.6,,1030.5,,9,9,-.6,
108,서울,2020-01-02 09:00,-.1,,,,2.4,,67,,1020.1,,1031.1,,9,9,-.3,
108,서울,2020-01-02 10:00,.7,,,,2,,62,,1020.1,,1031,,9,9,-.2,
108,서울,2020-01-02 11:00,1.7,,,,2,,57,,1019.9,,1030.8,,9,9,0,
108,서울,2020-01-02 12:00,2.5,,,,1,,56,,1019,,1029.8,,9,9,.9,
108,서울,2020-01-02 13:00,3.4,,,,1.8,,56,,1017.9,,1028.7,,9,9,1.7,
108,서울,2020-01-02 14:00,3.7,,,,2.3,,58,,1017.5,,1028.2,,9,9,1.3,
108,서울,2020-01-02 15:00,3.8,,,,2.8,,58,,1017.8,,1028.5,,9,9,1.5,
108,서울,2020-01-02 16:00,3.7,,,,2.5,,58,,1017.9,,1028.7,,9,9,1,
108,서울,2020-01-02 17:00,3.3,,,,3.1,,62,,1017.9,,1028.7,,9,9,.5,
108,서울,2020-01-02 18:00,2.7,,,,2.2,,61,,1017.5,,1028.3,,7,7,-.7,
108,서울,2020-01-02 19:00,2,,,,2,,64,,1017.8,,1028.6,,0,0,-.1,
108,서울,2020-01-02 20:00,1.2,,,,.7,,66,,1018,,1028.9,,0,0,-.3,
108,서울,2020-01-02 21:00,.5,,,,.9,,68,,1018.3,,1029.2,,8,8,-.4,
108,서울,2020-01-02 22:00,.3,,,,.4,,70,,1018.2,,1029.1,,0,0,-.5,
108,서울,2020-01-02 23:00,-.4,,,,1.5,,74,,1018.2,,1029.1,,0,0,-.8,
108,서울,2020-01-03 00:00,0,,,,2.6,,74,,1017.9,,1028.8,,3,3,-.8,
108,서울,2020-01-03 01:00,-.5,,,,1.4,,78,,1017.8,,1028.7,,2,2,-1,
